IMDb_ID,Year,Title,Genres,Production Companies,Director,Cast,Budget,Revenue,Rating
tt0011841,1920,Way Down East,"['Drama', 'Action', 'Romance']","['D.W. Griffith Productions', 'United Artists']",D.W. Griffith,"['Lillian Gish', 'Richard Barthelmess', 'Lowell Sherman', 'Burr McIntosh', 'Kate Bruce', 'Mrs. David Landau', 'Josephine Bernard', 'Mrs. Morgan Belmont', 'Patricia Fruen', 'Florence Short', 'Vivia Ogden', 'Porter Strong', 'George Neville', 'Edgar Nelson', 'Mary Hay', 'Creighton Hale', 'Emily Fitzroy', 'Carol Dempster', 'Louise Lawson', 'Athole Shearer', 'Edith Shearer', 'Norma Shearer', 'Frank Walsh']",0,4500000,7.0
tt0011549,1920,Over the Hill to the Poorhouse,"['Drama', 'Crime']",['Fox Film Corporation'],Harry F. Millarde,"['James Sheridan', 'Noel Tearle', 'William Welsh', 'Stephen Carr', 'Mary Carr', 'Jerry Devine', 'Johnnie Walker', 'Wallace Ray']",100000,3000000,0.0
,1920,Footlights and Shadows,['Drama'],['Selznick Pictures Corporation'],John W. Noble,"['Olive Thomas', 'Alex Onslow', 'Ivo Dawson', 'Mr. Farrell', 'May Hicks', 'E. Van Beusen', 'A.H. Busby', 'Robert Lee Keeling']",0,200000,0.0
tt0010323,1920,The Cabinet of Dr. Caligari,"['Drama', 'Horror', 'Thriller', 'Crime']",['Decla Film Gesellschaft Holz & Co.'],Robert Wiene,"['Werner Krauß', 'Conrad Veidt', 'Friedrich Fehér', 'Lil Dagover', 'Hans Heinrich von Twardowski', 'Rudolf Lettinger', 'Henri Peters-Arnolds', 'Rudolf Klein-Rogge', 'Hans Lanser-Rudolf', 'Ludwig Rex', 'Elsa Wagner']",18000,8811,7.96
,1920,Youthful Folly,['Drama'],['Selznick Pictures Corporation'],Alan Crosland,"['Olive Thomas', 'Crauford Kent', 'Helen Gill', 'Hugh Huntley', 'Charles Craig', 'Howard Truesdale', 'Florida Kingsley', 'Eugenie Woodward', 'Pauline Dempsey']",0,200,0.0
tt0011755,1920,Testimony,[],[],Guy Newall,"['Ivy Duke', 'David Hawthorne', 'Mary Rorke', 'Barbara Everest']",0,0,0.0
tt1175701,1920,Il volto di Medusa,[],[],Alfredo De Antoni,"['Alfredo De Antoni', 'Rina Maggi', 'Giuseppe Pierozzi', 'Luigi Serventi']",0,0,0.0
tt0922971,1920,Il miracolo,[],[],Mario Camerini,"['Elena Bottone', 'Piero Concialdi', ""Goffredo D'Andrea"", 'Leda Gys']",0,0,0.0
,1920,Herren und Knechte,[],[],,[],0,0,0.0
,1920,Nawang Wulan,[],[],Richard Teschner,[],0,0,0.0
tt0011098,1920,Dead Men Tell No Tales,[],[],Tom Terriss,"['Catherine Calvert', 'Percy Marmont', 'Holmes Herbert', 'Gustav von Seyffertitz', 'Walter James']",0,0,0.0
,1920,Die Berliner Range. 2. Streich: Lotte kuppelt,[],[],Karl Mueller-Hagens,['Hilde Woerner'],0,0,0.0
,1920,Tono Tomps. 1. Der Millionendefraudant,[],[],Louis Ralph,['Louis Ralph'],0,0,0.0
tt0460963,1920,"Tom Black, der Verbrecherfürst. 1. Teil: Die Teufelsuhr",[],[],Rudi Bach,['Fritz Kampers'],0,0,0.0
tt0329158,1920,A He-Male Vamp,['Comedy'],['United States Moving Picture Corporation'],William Watson,"['Zip Monberg', 'Connie Henley', 'Harry Sweet']",0,0,0.0
,1920,"Yama, die Gottheit des Todes",[],['Weiss-Blau-Film'],,[],0,0,0.0
tt0011360,1920,Kakadu und Kiebitz,['Comedy'],['Projektions-AG Union'],Erich Schönfelder,"['Ossi Oswalda', 'Hans Brockmann', 'Victor Janson', 'Marga Köhler', 'Rudolf Senius', 'Willi Allen', 'Hans Junkermann']",0,0,0.0
tt2201105,1920,Little Journeys in the National Forests of Colorado,['Documentary'],['U.S. Department of Agriculture'],Wallace Hutchinson,['Chief Manitou'],0,0,0.0
tt0440057,1920,Die Augen der Maske,[],[],Karl Gerhardt,"['Ally Kay', 'Hans Merkwitz', 'Hans Halden', 'Fritz Spira']",0,0,0.0
tt1080541,1920,"Ball Bearing, But Hard Running",['Comedy'],['United Picture Theatres of America Inc.'],,"['Bobby Burns', 'Jobyna Ralston']",0,0,0.0
tt0012349,1921,The Kid,"['Comedy', 'Drama']",['Charles Chaplin Productions'],Charlie Chaplin,"['Charlie Chaplin', 'Jackie Coogan', 'Edna Purviance', 'Carl Miller', 'Albert Austin', 'Charles Reisner', 'Lita Grey', 'Beulah Bains', 'Nellie Bly Baker', 'Henry Bergman', 'Edward Biby', 'F. Blinn', 'Kitty Bradbury', 'Frank Campeau', 'Bliss Chevalier', 'Frances Cochran', 'Elsie Codd', 'Jack Coogan Sr.', 'Estelle Cook', 'Lillian Crane', 'Dan Dillon', ""Philip D'Oench"", 'Robert Dunbar', 'Sadie Gordon', 'Jules Hanft', 'Kathleen Kay', 'Raymond Lee', 'Clyde McAtee', 'John McKinnon', 'Lew Parker', 'Esther Ralston', 'Granville Redmond', 'Edgar Sherrod', 'S.D. Wilcox', 'Tom Wilson']",250000,2500000,8.2
tt0012181,1921,Fool's Paradise,['Romance'],['Famous Players-Lasky Corporation'],Cecil B. DeMille,"['Dorothy Dalton', 'Conrad Nagel', 'Mildred Harris', 'Theodore Kosloff', 'John Davidson', 'Julia Faye', 'Clarence Burton']",291367,901937,5.5
tt0011980,1921,The Blue Fox,[],[],Duke Worne,"['Ann Little', 'J. Morris Foster', 'Joseph W. Girard', 'Charles Mason']",0,0,0.0
tt0255000,1921,The Bigamist,[],[],Guy Newall,"['Guy Newall', 'Ivy Duke', 'Barbara Everest']",0,0,0.0
tt0457508,1921,Um den Sohn,[],[],Frederik Larsen,"['Carola Toelle', 'Ernst Hofmann', 'Robert Scholz', 'Ilka Grüning', 'Emmy Sturm', 'Ernst Stahl-Nachbaur']",0,0,0.0
tt1163344,1921,Yume no tabiji,[],[],Kisaburō Kurihara,"['Margaret Clancey', 'Billy Bray']",0,0,0.0
tt0342355,1921,L'età critica,[],[],Amleto Palermi,"['Pina Menichelli', 'Livio Pavanelli', 'Giorgio Fini', 'Gemma De Ferrari', 'Signora Di Paola', 'Roberto Villani']",0,0,0.0
,1921,La Transmisión del Mando,['Animation'],['National Film'],Nicolás Martínez,[],0,0,0.0
tt0012112,1921,A Divorce of Convenience,[],[],Robert Ellis,"['Owen Moore', 'Katherine Perry', 'George Lessey', 'Nita Naldi', 'Frank Wunderlee']",0,0,0.0
tt0445422,1921,Der Herr der Bestien,['Adventure'],['John Hagenbeck-Film GmbH'],Ernst Wendt,"['Henry Bender', 'Carl de Vogt', 'Dora Bergner', 'Bruno Eichholz', 'Cläre Lotto', 'Fritz Orwa', 'Madge Jackson', 'Heinrich Marlow', 'Josef Rehberger', 'Anna von Palen']",0,0,0.0
tt0445799,1921,Un­ter Räubern und Bestien,"['Drama', 'Adventure']",['John Hagenbeck-Film GmbH'],Ernst Wendt,"['Carl de Vogt', 'Dora Bergner', 'Madge Jackson', 'Siegbert Steinfeld', 'Cläre Lotto', 'Margarethe Weisser-Damm', 'Erwin Biswanger', 'Hans Bernecker', 'Eugen Lehmann', 'Charlotte Hagenbruch', 'Heinrich Marlow']",0,0,0.0
,1921,Die schwarze Schmach,['Drama'],['Bayerische Film-Gesellschaft'],Carl Boese,"['Fritz Schulz', 'Hilde Müller', 'Grete Hollmann', 'Kurt Vespermann', 'Albert Patry', 'Anna von Palen']",0,0,0.0
tt0467190,1921,Im Kampf um Diamantenfelder,['Adventure'],['Übersee-Film-GmbH'],Hans Schomburgk,"['Hedda Forsten', 'Meg Gehrts-Schomburgk', 'Magnus Stifter', 'Pietro Bruce', 'Oskar Marion', 'Madge Jackson', 'Walter von Allwoerden', 'Wolfgang von Schwindt']",0,0,0.0
tt0470669,1921,Die Abenteuer der schönen Dorette,[],[],Otto Rippert,"['Hella Moja', 'Arnold Czempin', 'Paul Hartmann', 'Emil Heyse', 'Rolf Gert', 'Margit Ungar']",0,0,0.0
tt0012446,1921,Mann über Bord,[],[],Karl Grune,"['Grit Hegesa', 'Erich Kaiser-Titz', 'Alfred Abel', 'Ernst Hofmann', 'Magda Madeleine']",0,0,0.0
,1921,Inlandsche Kunstnijverheid,[],['Syndicaat voor Filmopnamen in Nederlandsch Oost-Indië'],,[],0,0,0.0
,1921,Zonsverduistering 8 april 1921,['Documentary'],['Haghe Film'],Willy Mullens,[],0,0,0.0
,1921,Door Walcheren,['Documentary'],['Haghe Film'],Willy Mullens,[],0,0,0.0
tt0012300,1921,Hush Money,['Drama'],['Realart Pictures Corporation'],Charles Maigne,"['Alice Brady', 'George Fawcett', 'Larry Wheat', 'Harry Benham', 'Jerry Devine', 'Lassie']",0,0,0.0
,1921,Die Indianer-Falle,[],['Münchener Film-Industrie'],,[],0,0,0.0
tt0013140,1922,Foolish Wives,['Drama'],['Universal Film Manufacturing Company'],Erich von Stroheim,"['Erich von Stroheim', 'Rudolph Christians', 'Miss DuPont', 'Maude George', 'Mae Busch', 'Dale Fuller', 'Cesare Gravina', 'Malvina Polo', 'Albert Edmondson', 'Mary Philbin', 'Nigel De Brulier', 'C.J. Allen', 'Robert Edeson', 'Agnes Emerson', 'Louise Emmons', 'Harrison Ford', 'Mrs. Kent', 'Edward Reinach', 'Louis K. Webb']",1100000,400200,6.7
tt0013046,1922,A Dangerous Adventure,['Adventure'],['Warner Bros. Pictures'],Sam L. Warner,"['Grace Darmond', 'Philo McCullough', 'Jack Richardson', 'Robert Agnew', 'Derelys Perdue', 'Rex De Rosselli']",175000,142000,0.0
tt0013442,1922,Nosferatu,"['Fantasy', 'Horror']","['Prana-Film GmbH', 'Jofa-Atelier Berlin-Johannisthal']",F. W. Murnau,"['Max Schreck', 'Gustav von Wangenheim', 'Greta Schröder', 'Georg H. Schnell', 'Ruth Landshoff', 'Gustav Botz', 'Alexander Granach', 'John Gottowt', 'Max Nemetz', 'Wolfgang Heinz', 'Albert Venohr', 'Eric van Viele', 'Karl Etlinger', 'Guido Herzfeld', 'Hans Lanser-Rudolf', 'Loni Nest', 'Josef Sareny', 'Fanny Schreck', 'Hardy von Francois', 'Heinrich Witte']",0,19054,7.7
tt0013690,1922,Tommy Tucker's Tooth,"['Comedy', 'Documentary', 'Animation']",['Laugh-O-Gram Films'],Walt Disney,['Jack Records'],0,500,4.6
tt0013737,1922,A Virgin's Sacrifice,['Drama'],[],Webster Campbell,"['Corinne Griffith', 'Curtis Cooksey', 'David Torrence', 'Louise Cussing', 'Nick Thompson']",0,0,0.0
tt0013493,1922,The Persistent Lovers,[],[],Guy Newall,"['Guy Newall', 'Ivy Duke', 'Barbara Everest']",0,0,0.0
tt0323665,1922,Под старото небе,['Drama'],"['Luna, Sofia']",Nikolai Larin,"['Zlatan Kasherov', 'Vela Usheva', 'Ivan Popov', 'Maria Toromanova-Hmelik', 'Maria Popova', 'Mariya Kazakova', 'Petko Chirpanliev', 'Nikola Balabanov', 'Mila Savova', 'Dobri Dundarov', 'Penka Ikonomova', 'Sevdalina Tzerkovska', 'Katya Stoyanova', 'Todor Yordanov', 'Georgi Fratev', 'Petko Kortenski', 'Mery Staninova-Stendich', 'Ana Andonova', 'Boris Borozanov', 'Velko Stoev']",0,0,0.0
tt8248240,1922,Mummy's Nightmare,['Comedy'],['Pacific Film Company'],,"['George Ovey', 'Arby Arly']",0,0,0.0
,1922,The Card,"['Comedy', 'Romance']",['Ideal Film Company'],A.V. Bramble,"['Laddie Cliff', 'Joan Barry', 'Mary Dibley', 'Sidney Paxton', 'Dora Gregory', 'Norman Page', 'Arthur Cleave', 'Jack Denton']",0,0,0.0
,1922,Model Dairy,['Animation'],"['Commonwealth Pictures', ""Aesop's Fables Studio""]",,[],0,0,0.0
tt0489496,1922,Ihr Kammerdiener,[],[],Willy Achsel,"['Erika Glässner', 'Gerhard Ritterband', 'Carl Günther', 'Kurt Busch', 'Rolf Jäger', 'Hugo Döblin', 'Carl Geppert']",0,0,0.0
tt0011962,1922,Die Beute der Erinnyen,[],[],Otto Rippert,"['Werner Krauß', 'Eduard von Winterstein', 'Felix Hecht', 'Eduard van Meghen', 'Ressel Orla', 'Wolfgang von Schwindt']",0,0,0.0
,1922,Jubileum 1e HBS Haarlem,['Documentary'],[],,[],0,0,0.0
,1922,Zijn Eerste Levensles,['Drama'],['Dick Laan Film'],Dick Laan,[],0,0,0.0
,1922,Zeist,['Documentary'],['Haghe Film'],Willy Mullens,[],0,0,0.0
,1922,Historische Optocht te Helmond op Zondag 24 September 1922,['Documentary'],['Haghe Film'],Willy Mullens,[],0,0,0.0
,1922,Philips Glasfabrieken,['Documentary'],['Haghe Film'],Willy Mullens,[],0,0,0.0
,1922,Heerlen,['Documentary'],['Haghe Film'],Willy Mullens,[],0,0,0.0
,1922,The Boy and the Dog,[],[],,[],0,0,0.0
,1922,Dublin War Scenes,[],[],Topical Film Company,[],0,0,0.0
tt0014429,1923,Safety Last!,"['Comedy', 'Romance', 'Thriller']",['Hal Roach Studios'],Sam Taylor,"['Harold Lloyd', 'Mildred Davis', 'Bill Strother', 'Noah Young', 'Westcott Clarke', 'Roy Brooks', 'Mickey Daniels', 'Richard Daniels', 'Ray Erlenborn', 'William Gillespie', 'Helen Gilmore', 'Wallace Howe', 'James T. Kelley', 'Billie Latimer', 'Gus Leonard', 'Sam Lufkin', 'Earl Mohan', 'Marie Mosquini', 'Fred C. Newmeyer', 'Charles Stevenson', 'Anna Townsend', 'Patrick Youch']",121000,1500000,7.862
tt0014424,1923,Rupert of Hentzau,[],[],Victor Heerman,"['Elaine Hammerstein', 'Lew Cody', 'Bert Lytell', 'Claire Windsor', 'Hobart Bosworth', 'Bryant Washburn', 'Marjorie Daw', 'Mitchell Lewis', 'Adolphe Menjou', 'Elmo Lincoln', 'Irving Cummings', 'Josephine Crowell', 'Nigel De Brulier', 'Gertrude Astor']",0,0,0.0
