IMDb_ID,Year,Title,Genres,Production Companies,Director,Cast,Budget,Revenue,Rating
tt1433763,2010,The Idiots,"['Romance', 'Drama']","['Booster Project', 'Tohokushinsha Film Corporation']",Shusuke Kaneko,"['Hiroki Narimiya', 'Yuki Uchida', 'Miho Shiraishi', 'Yuri Nakamura', 'Reina Asami', 'Natsuki Okamoto', 'Miyoko Asada', 'Takashi Kobayashi', 'Hiroyuki Ikeuchi', 'Yuko Kotegawa']",0,0,10.0
tt1437367,2010,Thanks Maa,"['Comedy', 'Drama']","['Quantum Films [in]', 'Sony Pictures']",Irfan Kamal,"['Master Shams', 'Master Salmaan', 'Sanjay Mishra', 'Alok Nath']",500000,2000000,5.8
tt1794758,2010,Silence,['Drama'],[],Sławomir Pstrong,"['Edyta Olszówka', 'Paweł Królikowski', 'Małgorzata Kochan']",0,0,6.3
tt1737268,2010,Yanoosak,[],[],Alexandre Monnier,"['Zeina Daccache', 'Dana Halabi', 'Alexandra Kahwagi ', 'Siegfried Terpoorten']",0,0,0.0
tt1866969,2010,Generations,[],[],Gina Carducci,"['Barbara Hammer', 'Gina Carducci']",0,0,0.0
,2010,Ao sul de Setembro,['Drama'],[],Amauri Tangará,"['Adriana Rangel', 'Adriana Rangel', 'Agostinho Bizinoto', 'Agostinho Bizinoto', 'Igor Kovalewski', 'Ana Paula Vieira', 'Renato Teixeira']",0,0,10.0
tt6404428,2010,The Bed Jumpers,['Animation'],['HB Johan Hagelbäck Tecknad Film'],Johan Hagelbäck,[],0,0,0.0
tt2106410,2010,En el cuerpo equivocado,['Documentary'],[],Marilyn Solaya,['Mavi Susel'],0,0,5.0
,2010,Herzensschrei,"['Drama', 'Thriller']",[],,['André Schneider'],0,0,0.0
,2010,A pedra do lobo,[],[],Alberte Pagán,[],0,0,0.0
tt1828311,2010,The Alley,[],[],Jeff Hathcock,['brice allen'],0,0,6.0
,2010,tricot MOVIE 12月号,"['Music', 'Documentary']",[],,"['Ikumi Nakajima', 'Motoko Kida', 'Hiromi Sagane']",0,0,6.0
